sid,x,y,UpperDepth,LowerDepth,Attribute,Val
33964,143.0132916,-35.78046853,100,200,DES,1
33964,143.0132916,-35.78046853,0,5,ECE,20.49150085
33964,143.0132916,-35.78046853,5,15,ECE,20.16986656
33964,143.0132916,-35.78046853,15,30,ECE,19.81254578
33964,143.0132916,-35.78046853,30,60,ECE,21.07077026
33964,143.0132916,-35.78046853,60,100,ECE,22.41445732
33964,143.0132916,-35.78046853,100,200,ECE,24.35113907
33964,143.0132916,-35.78046853,0,5,pHc,7.604813576
33964,143.0132916,-35.78046853,5,15,pHc,7.741672993
33964,143.0132916,-35.78046853,15,30,pHc,8.010499001
33964,143.0132916,-35.78046853,30,60,pHc,8.242974281
33964,143.0132916,-35.78046853,60,100,pHc,8.432928085
33964,143.0132916,-35.78046853,100,200,pHc,8.480345726
33964,143.0132916,-35.78046853,0,5,SND,62.31567764
33964,143.0132916,-35.78046853,5,15,SND,59.76348114
33964,143.0132916,-35.78046853,15,30,SND,53.88986206
33964,143.0132916,-35.78046853,30,60,SND,45.30574799
33964,143.0132916,-35.78046853,60,100,SND,42.41877747
33964,143.0132916,-35.78046853,100,200,SND,43.35936356
33964,143.0132916,-35.78046853,0,5,SLT,5.985002518
33964,143.0132916,-35.78046853,5,15,SLT,5.948252201
33964,143.0132916,-35.78046853,15,30,SLT,5.676691532
33964,143.0132916,-35.78046853,30,60,SLT,5.329819679
33964,143.0132916,-35.78046853,60,100,SLT,5.371416092
33964,143.0132916,-35.78046853,100,200,SLT,5.764156342
33964,143.0132916,-35.78046853,0,5,SOC,1.397985458
33964,143.0132916,-35.78046853,5,15,SOC,0.92762208
33964,143.0132916,-35.78046853,15,30,SOC,0.613250732
33964,143.0132916,-35.78046853,30,60,SOC,0.421622515
33964,143.0132916,-35.78046853,60,100,SOC,0.272985578
33964,143.0132916,-35.78046853,100,200,SOC,0.170304298
33964,143.0132916,-35.78046853,0,5,NTO,0.087509073
33964,143.0132916,-35.78046853,5,15,NTO,0.073402457
33964,143.0132916,-35.78046853,15,30,NTO,0.052430268
33964,143.0132916,-35.78046853,30,60,NTO,0.034549911
33964,143.0132916,-35.78046853,60,100,NTO,0.023810826
33964,143.0132916,-35.78046853,100,200,NTO,0.019922247
33964,143.0132916,-35.78046853,0,5,PTO,0.022940068
33964,143.0132916,-35.78046853,5,15,PTO,0.022020105
33964,143.0132916,-35.78046853,15,30,PTO,0.019613139
33964,143.0132916,-35.78046853,30,60,PTO,0.017636925
33964,143.0132916,-35.78046853,60,100,PTO,0.017430248
33964,143.0132916,-35.78046853,100,200,PTO,0.015608594
36363,142.9820412,-35.78156053,0,5,AWC,12.23999691
36363,142.9820412,-35.78156053,5,15,AWC,12.49269485
36363,142.9820412,-35.78156053,15,30,AWC,12.92452717
36363,142.9820412,-35.78156053,30,60,AWC,13.09767723
36363,142.9820412,-35.78156053,60,100,AWC,12.9628849
36363,142.9820412,-35.78156053,100,200,AWC,12.64066505
36363,142.9820412,-35.78156053,0,5,BDW,1.430814028
36363,142.9820412,-35.78156053,5,15,BDW,1.456114888
36363,142.9820412,-35.78156053,15,30,BDW,1.470675945
36363,142.9820412,-35.78156053,30,60,BDW,1.451856852
36363,142.9820412,-35.78156053,60,100,BDW,1.479859233
36363,142.9820412,-35.78156053,100,200,BDW,1.506550789
36363,142.9820412,-35.78156053,0,5,CLY,16.47991753
36363,142.9820412,-35.78156053,5,15,CLY,18.46936607
36363,142.9820412,-35.78156053,15,30,CLY,23.55994797
36363,142.9820412,-35.78156053,30,60,CLY,28.7527771
36363,142.9820412,-35.78156053,60,100,CLY,31.07907295
36363,142.9820412,-35.78156053,100,200,CLY,30.94669724
36363,142.9820412,-35.78156053,0,999,DER,94.21092224
36363,142.9820412,-35.78156053,0,5,DES,1
36363,142.9820412,-35.78156053,0,200,DES,1.17294395
36363,142.9820412,-35.78156053,5,15,DES,1
36363,142.9820412,-35.78156053,15,30,DES,1
36363,142.9820412,-35.78156053,30,60,DES,1
36363,142.9820412,-35.78156053,60,100,DES,1
36363,142.9820412,-35.78156053,100,200,DES,1
36363,142.9820412,-35.78156053,0,5,ECE,19.54157639
36363,142.9820412,-35.78156053,5,15,ECE,19.26755142
36363,142.9820412,-35.78156053,15,30,ECE,18.97555733
36363,142.9820412,-35.78156053,30,60,ECE,20.28108406
36363,142.9820412,-35.78156053,60,100,ECE,21.69696808
36363,142.9820412,-35.78156053,100,200,ECE,23.94904709
36363,142.9820412,-35.78156053,0,5,pHc,7.29942131
36363,142.9820412,-35.78156053,5,15,pHc,7.437606335
36363,142.9820412,-35.78156053,15,30,pHc,7.736231327
36363,142.9820412,-35.78156053,30,60,pHc,8.106049538
36363,142.9820412,-35.78156053,60,100,pHc,8.330608368
36363,142.9820412,-35.78156053,100,200,pHc,8.376000404
36363,142.9820412,-35.78156053,0,5,SND,68.24827576
36363,142.9820412,-35.78156053,5,15,SND,66.43078613
36363,142.9820412,-35.78156053,15,30,SND,61.69073486
36363,142.9820412,-35.78156053,30,60,SND,56.39129257
36363,142.9820412,-35.78156053,60,100,SND,54.32374191
36363,142.9820412,-35.78156053,100,200,SND,53.99450302
36363,142.9820412,-35.78156053,0,5,SLT,4.954818249
36363,142.9820412,-35.78156053,5,15,SLT,4.924741268
36363,142.9820412,-35.78156053,15,30,SLT,4.683280468
36363,142.9820412,-35.78156053,30,60,SLT,4.37809515
36363,142.9820412,-35.78156053,60,100,SLT,4.436546803
36363,142.9820412,-35.78156053,100,200,SLT,4.826524258
36363,142.9820412,-35.78156053,0,5,SOC,1.299137235
36363,142.9820412,-35.78156053,5,15,SOC,0.768954992
36363,142.9820412,-35.78156053,15,30,SOC,0.478216827
36363,142.9820412,-35.78156053,30,60,SOC,0.394672781
36363,142.9820412,-35.78156053,60,100,SOC,0.26007551
36363,142.9820412,-35.78156053,100,200,SOC,0.170588851
36363,142.9820412,-35.78156053,0,5,NTO,0.082992673
36363,142.9820412,-35.78156053,5,15,NTO,0.070839353
36363,142.9820412,-35.78156053,15,30,NTO,0.05128609
36363,142.9820412,-35.78156053,30,60,NTO,0.034650102
36363,142.9820412,-35.78156053,60,100,NTO,0.024625178
36363,142.9820412,-35.78156053,100,200,NTO,0.020778608
36363,142.9820412,-35.78156053,0,5,PTO,0.025918715
