"SiteID","Easting","Northing","Depth","Stratify","Transect","Clay","pH"
"h065",151.292882,-32.82430225,0.34,2,6,32,6.7
"h065",151.292882,-32.82430225,0.59,2,6,40,6.4
"h065",151.292882,-32.82430225,0.85,2,6,40,6.2
"h066",151.2919773,-32.82301823,0.05,2,6,21,6.4
"h066",151.2919773,-32.82301823,0.16,2,6,40,6.7
"h066",151.2919773,-32.82301823,0.36,2,6,49,6.5
"h066",151.2919773,-32.82301823,0.59,2,6,57,6.2
"h066",151.2919773,-32.82301823,0.75,2,6,57,5.8
"h066",151.2919773,-32.82301823,0.91,2,6,49,5.5
"h067",151.2908845,-32.82095601,0.12,2,6,34,5.5
"h067",151.2908845,-32.82095601,0.27,2,6,40,6
"h067",151.2908845,-32.82095601,0.38,2,6,45,5.1
"h067",151.2908845,-32.82095601,0.63,2,6,49,4.5
"h068",151.2900416,-32.81923991,0.07,2,6,45,5.3
"h068",151.2900416,-32.81923991,0.23,2,6,49,5.9
"h068",151.2900416,-32.81923991,0.36,2,6,49,5.9
"h068",151.2900416,-32.81923991,0.61,2,6,49,5.5
"h069",151.2888709,-32.81901647,0.08,2,6,40,5.6
"h069",151.2888709,-32.81901647,0.29,2,6,49,6.3
"h069",151.2888709,-32.81901647,0.55,2,6,49,5.6
"h069",151.2888709,-32.81901647,0.84,2,6,49,5.3
"h070",151.2877406,-32.81891984,0.11,2,6,45,6.2
"h070",151.2877406,-32.81891984,0.47,2,6,49,6.4
"h070",151.2877406,-32.81891984,0.88,2,6,32,5.8
"h070",151.2877406,-32.81891984,1.12,2,6,49,5.8
"h071",151.29578,-32.82357513,0.12,2,6,34,6.34
"h071",151.29578,-32.82357513,0.34,2,6,49,6.53
"h071",151.29578,-32.82357513,0.72,2,6,57,6.05
"h072",151.2943652,-32.82382643,0.05,2,6,21,5.34
"h072",151.2943652,-32.82382643,0.18,2,6,45,5.5
"h072",151.2943652,-32.82382643,0.36,2,6,45,5.53
"h072",151.2943652,-32.82382643,0.73,2,6,40,5.13
"h073",151.294525,-32.82328747,0.03,2,6,21,5.41
"h073",151.294525,-32.82328747,0.14,2,6,40,5.63
"h073",151.294525,-32.82328747,0.31,2,6,49,5.57
"h073",151.294525,-32.82328747,0.49,2,6,49,5.86
"h073",151.294525,-32.82328747,0.8,2,6,40,6.55
"h074",151.2933206,-32.8231538,0.05,2,6,21,6.09
"h074",151.2933206,-32.8231538,0.19,2,6,45,6.2
"h074",151.2933206,-32.8231538,0.39,2,6,49,5.99
"h074",151.2933206,-32.8231538,0.63,2,6,45,5.8
