"SiteID","Easting","Northing","Depth","Stratify","Transect","Clay","pH","AACN","Elevation","Hillshading","Landsat_Band1","Light_insolation","Mid_Slope_Positon","MRVBF","NDVI","Slope","Terrain_Ruggedness_Index","TWI"
"h011",151.3054906,-32.81395745,0.35,2,5,49,5.46,29.0937786102295,123.360733032227,7.6705265045166,50.4565658569336,1635.16162109375,0.637161374092102,0.1062156483531,-0.133281901478767,6.28013324737549,5.21741580963135,10.7537355422974
"h011",151.3054906,-32.81395745,0.72,2,5,49,5.31,29.0937786102295,123.360733032227,7.6705265045166,50.4565658569336,1635.16162109375,0.637161374092102,0.1062156483531,-0.133281901478767,6.28013324737549,5.21741580963135,10.7537355422974
"h011",151.3054906,-32.81395745,0.91,2,5,45,5.65,29.0937786102295,123.360733032227,7.6705265045166,50.4565658569336,1635.16162109375,0.637161374092102,0.1062156483531,-0.133281901478767,6.28013324737549,5.21741580963135,10.7537355422974
"h011",151.3054906,-32.81395745,0.97,2,5,49,5.79,29.0937786102295,123.360733032227,7.6705265045166,50.4565658569336,1635.16162109375,0.637161374092102,0.1062156483531,-0.133281901478767,6.28013324737549,5.21741580963135,10.7537355422974
"h012",151.3062674,-32.81411227,0.06,2,5,40,6.18,21.6068553924561,115.194648742676,8.00003147125244,48.0387191772461,1624.13671875,0.155292510986328,0.235021442174911,-0.134637236595154,6.49215316772461,5.09469032287598,12.5671272277832
"h012",151.3062674,-32.81411227,0.2,2,5,57,5.6,21.6068553924561,115.194648742676,8.00003147125244,48.0387191772461,1624.13671875,0.155292510986328,0.235021442174911,-0.134637236595154,6.49215316772461,5.09469032287598,12.5671272277832
"h012",151.3062674,-32.81411227,0.44,2,5,57,5.54,21.6068553924561,115.194648742676,8.00003147125244,48.0387191772461,1624.13671875,0.155292510986328,0.235021442174911,-0.134637236595154,6.49215316772461,5.09469032287598,12.5671272277832
"h012",151.3062674,-32.81411227,0.8,2,5,57,5.43,21.6068553924561,115.194648742676,8.00003147125244,48.0387191772461,1624.13671875,0.155292510986328,0.235021442174911,-0.134637236595154,6.49215316772461,5.09469032287598,12.5671272277832
"h013",151.307216,-32.81421529,0.12,2,5,21,5.59,16.5808696746826,109.359580993652,7.20027303695679,45.7385673522949,1634.25512695312,0.345696151256561,0.360462367534637,-0.137127369642258,5.9484601020813,4.68933534622192,14.0039463043213
"h013",151.307216,-32.81421529,0.29,2,5,40,7.41,16.5808696746826,109.359580993652,7.20027303695679,45.7385673522949,1634.25512695312,0.345696151256561,0.360462367534637,-0.137127369642258,5.9484601020813,4.68933534622192,14.0039463043213
"h013",151.307216,-32.81421529,0.46,2,5,49,7.7,16.5808696746826,109.359580993652,7.20027303695679,45.7385673522949,1634.25512695312,0.345696151256561,0.360462367534637,-0.137127369642258,5.9484601020813,4.68933534622192,14.0039463043213
"h013",151.307216,-32.81421529,0.71,2,5,45,6.37,16.5808696746826,109.359580993652,7.20027303695679,45.7385673522949,1634.25512695312,0.345696151256561,0.360462367534637,-0.137127369642258,5.9484601020813,4.68933534622192,14.0039463043213
