"SiteID","Easting","Northing","Depth","Stratify","Transect","RockFrag","pH_H2O","EC","OC","P_Olsen","PBI","Exch_Ca","Exch_Mg","Exch_K","Exch_Na","Exch_Acid","Exch_Sum","ECEC","BaseSat","ESP","Ca_Mg","ECEC_Clay","Sand","Silt","Clay"
1015,776176,2280285,5,1,1015,0,6.61,0.073,0.21,NA,29,NA,NA,NA,NA,NA,3.44,3.92,100,0.83,2.9,0.56,84.8,7.3,7.9
1015,776176,2280285,15,1,1015,0,6.92,0.02,0.13,3.1,10,0.95,0.39,0.1,0.09,0,1.53,1.53,100,6.13,2.4,0.79,90.7,7.3,1.9
1015,776176,2280285,25,1,1015,0,5.34,0.042,0.07,NA,43,NA,NA,NA,NA,NA,1.5,1.7,68.8,3.97,0.6,0.31,69.4,15.6,15
1015,776176,2280285,40,1,1015,0,5.19,0.015,0.08,1.2,59,0.31,0.91,0.16,0.09,1.96,1.47,3.42,42.8,2.71,0.3,0.28,78.2,9.8,12.1
1015,776176,2280285,60,1,1015,0,5.23,0.037,0.1,NA,47,NA,NA,NA,NA,NA,3.67,4.04,58.5,4.68,0.3,0.31,76.3,10.6,13
1015,776176,2280285,85,1,1015,0,4.84,0.014,0.09,1.6,68,0.07,0.75,0.13,0.1,2.7,1.06,3.76,28.1,2.66,0.1,0.31,78.9,9,12.1
1016,776175,2280280,5,1,1015,0,6,0.035,0.12,NA,30,NA,NA,NA,NA,NA,2.42,2.84,100,3.88,2.1,0.47,79.6,11.4,9
1016,776175,2280280,15,1,1015,0,5.25,0.045,0.05,NA,30,NA,NA,NA,NA,NA,NA,NA,60.4,3.71,1.5,0.39,77.3,8.8,13.9
1016,776175,2280280,25,1,1015,0,5.06,0.057,0.1,NA,38,NA,NA,NA,NA,NA,3.25,3.61,42.6,2.36,1,0.44,77.9,8,14.1
1016,776175,2280280,40,1,1015,0,4.89,0.059,0.08,NA,30,NA,NA,NA,NA,NA,3.16,3.49,26.7,2.15,1,0.38,77.4,8.9,13.7
1016,776175,2280280,60,1,1015,0,5.23,0.039,0.11,NA,38,NA,NA,NA,NA,NA,3.31,3.42,58.5,4.44,1,0.25,75.6,10.5,14
1016,776175,2280280,85,1,1015,0,5.23,0.022,0.09,NA,40,NA,NA,NA,NA,NA,3.2,3.24,58.5,6.48,1.2,0.2,76.2,7.5,16.2
1017,776164,2280238,5,1,1015,50,8.31,0.161,0.13,NA,64,10.53,NA,NA,NA,NA,10.63,11,100,2.87,1.6,0.77,62.7,13.7,23.6
1017,776164,2280238,15,1,1015,0,8.38,0.175,0.11,NA,61,6.84,NA,NA,NA,NA,9.15,9.52,100,3.44,2.2,0.59,61.3,14.6,24.1
1017,776164,2280238,25,1,1015,0,8.57,0.22,0.19,NA,74,8.41,NA,NA,NA,NA,10.53,10.85,100,5.64,2.6,0.57,56.8,16.7,26.5
1017,776164,2280238,40,1,1015,0,8.91,0.226,0.19,NA,63,8.04,NA,NA,NA,NA,10.05,10.52,100,8.23,2.4,0.58,58.6,18.8,22.6
1017,776164,2280238,60,1,1015,0,9.1,0.225,NA,NA,55,4.42,NA,NA,NA,NA,8.27,8.91,100,9.53,1.7,0.69,60.7,19.4,20
1017,776164,2280238,NA,1,1015,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1018,775978,2280299,5,1,1015,30,8.84,0.183,0.08,NA,68,5.41,NA,NA,NA,NA,9.52,10.07,100,6,0.9,0.6,51.8,25.1,23.1
1018,775978,2280299,15,1,1015,30,9.24,0.217,NA,NA,61,3.1,NA,NA,NA,NA,7.79,8.26,100,10.05,1.5,0.57,57,22.2,20.8
1018,775978,2280299,25,1,1015,100,9.63,0.241,0.14,NA,79,NA,NA,NA,NA,NA,4.38,4.74,100,14.48,0.4,0.8,62.5,18.9,18.7
1018,775978,2280299,40,1,1015,100,9.37,0.173,NA,NA,63,1,NA,NA,NA,NA,6.39,6.73,100,8.12,1.6,0.84,60.9,18.5,20.7
1018,775978,2280299,60,1,1015,100,7.47,NA,NA,NA,49,1.02,NA,NA,NA,NA,6.4,6.87,NA,NA,2.4,1.01,76.6,12.2,11.2
1018,775978,2280299,75,1,1015,100,9.69,0.316,NA,NA,62,NA,NA,NA,NA,NA,NA,1.29,100,20.8,2.7,1.02,81.2,7.9,10.9
1020,775904,2283555,5,1,1020,2,8.08,0.146,0.74,NA,80,16.97,NA,NA,NA,NA,19.71,19.83,100,1.79,6.9,1.1,60.5,23.4,16
1020,775904,2283555,15,1,1020,5,8.08,0.137,0.56,NA,78,19.42,NA,NA,NA,NA,24.18,23.91,100,1.73,5.7,0.9,57.9,26.6,15.4
1020,775904,2283555,25,1,1020,7,7.92,0.098,0.53,1.4,81,20.16,2.9,0.12,0.12,0,23.29,23.29,100,0.5,7,1.19,57.9,22.5,19.6
1020,775904,2283555,40,1,1020,9,8.25,0.175,0.52,NA,166,18.17,NA,NA,NA,NA,20.66,20.46,100,2.81,4.4,1.15,54.2,26.5,19.3
1020,775904,2283555,60,1,1020,10,8.55,0.106,0.35,1.8,229,16.83,5.76,0.1,0.19,0,22.88,22.88,100,0.81,2.9,1.59,55.3,30.3,14.4
